nodenumber     x-coordinate     y-coordinate   axial-velocity  radial-velocity 
         1  2.992877546E+00  6.680769228E-03  3.766594028E-01  7.007841063E-05 
         2  2.985185331E+00  6.680754462E-03  3.768435188E-01  6.734590348E-05 
         3  2.985183258E+00  0.000000000E+00  3.771536497E-01  3.495270535E-05 
         4  2.992875583E+00  0.000000000E+00  3.769688473E-01  3.524130001E-05 
         5  2.985187399E+00  1.334661850E-02  3.759224517E-01  1.312371740E-04 
         6  2.992879504E+00  1.334663326E-02  3.757406129E-01  1.385052466E-04 
         7  2.975981098E+00  6.680736795E-03  3.770012775E-01  6.272372468E-05 
         8  2.975979782E+00  0.000000000E+00  3.773141256E-01  3.293706030E-05 
         9  2.975982412E+00  1.334660083E-02  3.760761634E-01  1.208044077E-04 
        10  2.964707548E+00  6.680715155E-03  3.771938487E-01  5.454337958E-05 
        11  2.964705913E+00  0.000000000E+00  3.775075756E-01  2.824314083E-05 
        12  2.964709179E+00  1.334657919E-02  3.762664756E-01  1.056631340E-04 
        13  2.950956119E+00  6.680688758E-03  3.773865251E-01  4.523489491E-05 
        14  2.950954116E+00  0.000000000E+00  3.777023039E-01  2.332387497E-05 
        15  2.950958117E+00  1.334655279E-02  3.764555667E-01  8.758158247E-05 
        16  2.934181529E+00  6.680656559E-03  3.775760263E-01  3.446846081E-05 
        17  2.934179059E+00  0.000000000E+00  3.778923589E-01  1.743855155E-05 
        18  2.934183993E+00  1.334652059E-02  3.766436082E-01  6.725657497E-05 
        19  2.913715525E+00  6.680617273E-03  3.777408990E-01  2.336469482E-05 
        20  2.913712463E+00  0.000000000E+00  3.780558548E-01  1.128560566E-05 
        21  2.913718580E+00  1.334648131E-02  3.768096367E-01  4.639687941E-05 
        22  2.888748720E+00  6.680569349E-03  3.778673159E-01  1.284091068E-05 
        23  2.888744925E+00  0.000000000E+00  3.781784890E-01  5.575881545E-06 
        24  2.888752507E+00  1.334643339E-02  3.769402693E-01  2.649667844E-05 
        25  2.858291338E+00  6.680510884E-03  3.779394316E-01  4.033530028E-06 
        26  2.858286620E+00  0.000000000E+00  3.782476700E-01  1.405707770E-06 
        27  2.858296046E+00  1.334637492E-02  3.770156589E-01  8.861924253E-06 
        28  2.821137579E+00  6.680439566E-03  3.779413173E-01 -3.021726337E-06 
        29  2.821131717E+00  0.000000000E+00  3.782524279E-01 -1.015956968E-06 
        30  2.821143429E+00  1.334630361E-02  3.770146968E-01 -6.619910494E-06 
        31  2.775816089E+00  6.680352570E-03  3.778385410E-01 -1.043281383E-05 
        32  2.775808803E+00  0.000000000E+00  3.781535411E-01 -3.872468481E-06 
        33  2.775823360E+00  1.334621662E-02  3.769098830E-01 -2.179174510E-05 
        34  2.720531262E+00  6.680246449E-03  3.775763366E-01 -1.889520781E-05 
        35  2.720522201E+00  0.000000000E+00  3.778875606E-01 -8.706054377E-06 
        36  2.720540304E+00  1.334611050E-02  3.766569725E-01 -3.687788808E-05 
        37  2.653844281E+00  6.680118441E-03  3.771257938E-01 -2.619678115E-05 
        38  2.653833432E+00  0.000000000E+00  3.774304218E-01 -1.312598569E-05 
        39  2.653855107E+00  1.334598249E-02  3.762204518E-01 -5.061587357E-05 
        40  2.581337834E+00  6.679979262E-03  3.764958152E-01 -3.308722375E-05 
        41  2.581326108E+00  0.000000000E+00  3.767944602E-01 -1.664659380E-05 
        42  2.581349536E+00  1.334584332E-02  3.756059452E-01 -6.437890637E-05 
        43  2.506754944E+00  6.679836097E-03  3.756868490E-01 -4.062955599E-05 
        44  2.506742998E+00  0.000000000E+00  3.759783648E-01 -2.046791812E-05 
        45  2.506766864E+00  1.334570015E-02  3.748172684E-01 -7.899635229E-05 
        46  2.432172053E+00  6.679692932E-03  3.747208818E-01 -4.803705355E-05 
        47  2.432159889E+00  0.000000000E+00  3.750043664E-01 -2.421463315E-05 
        48  2.432184192E+00  1.334555699E-02  3.738744911E-01 -9.337362498E-05 
        49  2.357589162E+00  6.679549767E-03  3.735900166E-01 -5.566274491E-05 
        50  2.357576779E+00  0.000000000E+00  3.738643819E-01 -2.808899495E-05 
        51  2.357601520E+00  1.334541382E-02  3.727694110E-01 -1.081818051E-04 
        52  2.283006271E+00  6.679406603E-03  3.722909266E-01 -6.350660228E-05 
        53  2.282993670E+00  0.000000000E+00  3.725554223E-01 -3.210632814E-05 
        54  2.283018847E+00  1.334527066E-02  3.714985164E-01 -1.234933553E-04 
        55  2.208423381E+00  6.679263438E-03  3.708216605E-01 -7.131387668E-05 
        56  2.208410560E+00  0.000000000E+00  3.710754403E-01 -3.612075451E-05 
        57  2.208436175E+00  1.334512749E-02  3.700601202E-01 -1.387163098E-04 
        58  2.133840490E+00  6.679120273E-03  3.691829571E-01 -7.912432130E-05 
        59  2.133827451E+00  0.000000000E+00  3.694251741E-01 -4.013105159E-05 
        60  2.133853503E+00  1.334498433E-02  3.684549785E-01 -1.539106805E-04 
        61  2.059257599E+00  6.678977109E-03  3.673740532E-01 -8.692987458E-05 
        62  2.059244342E+00  0.000000000E+00  3.676039640E-01 -4.413026116E-05 
        63  2.059270831E+00  1.334484116E-02  3.666820078E-01 -1.691031033E-04 
        64  1.984674709E+00  6.678833944E-03  3.653956777E-01 -9.474599292E-05 
        65  1.984661232E+00  0.000000000E+00  3.656125062E-01 -4.813029649E-05 
        66  1.984688159E+00  1.334469800E-02  3.647420452E-01 -1.843172191E-04 
        67  1.910091818E+00  6.678690779E-03  3.632463277E-01 -1.026279149E-04 
        68  1.910078123E+00  0.000000000E+00  3.634493639E-01 -5.216039659E-05 
        69  1.910105487E+00  1.334455484E-02  3.626333552E-01 -1.996828870E-04 
        70  1.835508927E+00  6.678547614E-03  3.609238832E-01 -1.106599605E-04 
        71  1.835495013E+00  0.000000000E+00  3.611124223E-01 -5.626218105E-05 
        72  1.835522814E+00  1.334441167E-02  3.603537898E-01 -2.153516683E-04 
        73  1.760926036E+00  6.678404450E-03  3.584238713E-01 -1.189279069E-04 
        74  1.760911904E+00  0.000000000E+00  3.585972238E-01 -6.047715882E-05 
        75  1.760940142E+00  1.334426851E-02  3.578988184E-01 -2.314894288E-04 
        76  1.686343145E+00  6.678261285E-03  3.557401360E-01 -1.275275812E-04 
        77  1.686328794E+00  0.000000000E+00  3.558976518E-01 -6.485391392E-05 
        78  1.686357470E+00  1.334412534E-02  3.552621474E-01 -2.482853597E-04 
        79  1.611760255E+00  6.678118120E-03  3.528643395E-01 -1.365514264E-04 
        80  1.611745685E+00  0.000000000E+00  3.530054069E-01 -6.944051517E-05 
        81  1.611774798E+00  1.334398218E-02  3.524353167E-01 -2.659254136E-04 
        82  1.537177364E+00  6.677974955E-03  3.497861900E-01 -1.460896217E-04 
        83  1.537162575E+00  0.000000000E+00  3.499102658E-01 -7.428317594E-05 
        84  1.537192126E+00  1.334383901E-02  3.494078222E-01 -2.845881088E-04 
        85  1.462594473E+00  6.677831791E-03  3.464935726E-01 -1.562202040E-04 
        86  1.462579466E+00  0.000000000E+00  3.466002018E-01 -7.942177283E-05 
        87  1.462609453E+00  1.334369585E-02  3.461672865E-01 -3.044285214E-04 
        88  1.388011582E+00  6.677688626E-03  3.429728063E-01 -1.670092969E-04 
        89  1.387996356E+00  0.000000000E+00  3.430616600E-01 -8.489042002E-05 
        90  1.388026781E+00  1.334355269E-02  3.426996555E-01 -3.255810412E-04 
        91  1.313428691E+00  6.677545461E-03  3.392089465E-01 -1.785056155E-04 
        92  1.313413247E+00  0.000000000E+00  3.392798616E-01 -9.071439647E-05 
        93  1.313444109E+00  1.334340952E-02  3.389895016E-01 -3.481464046E-04 
        94  1.238845801E+00  6.677402297E-03  3.351861939E-01 -1.907446354E-04 
        95  1.238830137E+00  0.000000000E+00  3.352392244E-01 -9.691167735E-05 
        96  1.238861437E+00  1.334326636E-02  3.350203913E-01 -3.722008966E-04 
        97  1.164262910E+00  6.677259132E-03  3.308878607E-01 -2.037614616E-04 
        98  1.164247028E+00  0.000000000E+00  3.309233353E-01 -1.034996677E-04 
        99  1.164278764E+00  1.334312319E-02  3.307748331E-01 -3.978210062E-04 
       100  1.089680019E+00  6.677115967E-03  3.262968444E-01 -2.175668752E-04 
       101  1.089663919E+00  0.000000000E+00  3.263154262E-01 -1.104833179E-04 
       102  1.089696092E+00  1.334298003E-02  3.262347410E-01 -4.250354533E-04 
       103  1.015097128E+00  6.676972802E-03  3.213954123E-01 -2.322039998E-04 
       104  1.015080809E+00  0.000000000E+00  3.213981513E-01 -1.178839192E-04 
       105  1.015113420E+00  1.334283686E-02  3.213812360E-01 -4.539357949E-04 
       106  9.405142371E-01  6.676829638E-03  3.161646903E-01 -2.477235704E-04 
       107  9.404976996E-01  0.000000000E+00  3.161530673E-01 -1.257268731E-04 
       108  9.405307475E-01  1.334269370E-02  3.161941584E-01 -4.846260506E-04 
       109  8.659313462E-01  6.676686473E-03  3.105842583E-01 -2.642374315E-04 
       110  8.659145901E-01  0.000000000E+00  3.105601944E-01 -1.340690835E-04 
       111  8.659480752E-01  1.334255054E-02  3.106517569E-01 -5.173253658E-04 
       112  7.913484554E-01  6.676543308E-03  3.046294858E-01 -2.819829411E-04 
       113  7.913314806E-01  0.000000000E+00  3.045953071E-01 -1.430318564E-04 
       114  7.913654029E-01  1.334240737E-02  3.047281529E-01 -5.524919576E-04 
       115  3.000000000E+00  6.680782900E-03  3.765427750E-01  7.183721057E-05 
       116  3.000000000E+00  1.334664693E-02  3.756230450E-01  1.419922422E-04 
       117  7.167655644E-01  6.676400143E-03  2.982694521E-01 -3.013459678E-04 
       118  7.167483712E-01  0.000000000E+00  2.982277781E-01 -1.528130091E-04 
       119  7.167827306E-01  1.334226421E-02  2.983914856E-01 -5.908641419E-04 
       120  6.421826735E-01  6.676256979E-03  2.914592580E-01 -3.231368669E-04 
       121  6.421652617E-01  0.000000000E+00  2.914128019E-01 -1.638265760E-04 
       122  6.422000582E-01  1.334212104E-02  2.915964839E-01 -6.340019040E-04 
       123  5.675997826E-01  6.676113814E-03  2.841325405E-01 -3.488252922E-04 
       124  5.675821523E-01  0.000000000E+00  2.840838283E-01 -1.768223897E-04 
       125  5.676173859E-01  1.334197788E-02  2.842772399E-01 -6.847485140E-04 
       126  4.930168917E-01  6.675970649E-03  2.761719820E-01 -3.811262501E-04 
       127  4.929990428E-01  0.000000000E+00  2.761230120E-01 -1.931803965E-04 
       128  4.930347135E-01  1.334183471E-02  2.763179119E-01 -7.483874788E-04 
       129  4.184340007E-01  6.675827485E-03  2.673994370E-01 -4.247901248E-04 
       130  4.184159333E-01  0.000000000E+00  2.673513703E-01 -2.153050112E-04 
       131  4.184520412E-01  1.334169155E-02  2.675427462E-01 -8.342226183E-04 
       132  3.459405985E-01  6.675688331E-03  2.577959020E-01 -4.851046659E-04 
       133  3.459233599E-01  0.000000000E+00  2.577490332E-01 -2.458536884E-04 
       134  3.459578117E-01  1.334155239E-02  2.579354746E-01 -9.526725005E-04 
       135  2.792854865E-01  6.675560384E-03  2.476933859E-01 -5.631801577E-04 
       136  2.792706311E-01  0.000000000E+00  2.476475588E-01 -2.853674061E-04 
