nodenumber     x-coordinate     y-coordinate   axial-velocity  radial-velocity 
         1  2.992877546E+00  6.680769228E-03  3.805989158E-01  2.019361065E-04 
         2  2.985185331E+00  6.680754462E-03  3.811214540E-01  2.003513403E-04 
         3  2.985183258E+00  0.000000000E+00  3.814630574E-01  1.026272190E-04 
         4  2.992875583E+00  0.000000000E+00  3.809393264E-01  1.030767355E-04 
         5  2.985187399E+00  1.334661850E-02  3.801125809E-01  3.904745611E-04 
         6  2.992879504E+00  1.334663326E-02  3.795965374E-01  3.946256574E-04 
         7  2.975981098E+00  6.680736795E-03  3.816175122E-01  1.922857108E-04 
         8  2.975979782E+00  0.000000000E+00  3.819617228E-01  9.857357633E-05 
         9  2.975982412E+00  1.334660083E-02  3.806007260E-01  3.740902765E-04 
        10  2.964707548E+00  6.680715155E-03  3.822255614E-01  1.762866019E-04 
        11  2.964705913E+00  0.000000000E+00  3.825731883E-01  9.033988816E-05 
        12  2.964709179E+00  1.334657919E-02  3.811990390E-01  3.428900760E-04 
        13  2.950956119E+00  6.680688758E-03  3.828707629E-01  1.530646001E-04 
        14  2.950954116E+00  0.000000000E+00  3.832221865E-01  7.846356991E-05 
        15  2.950958117E+00  1.334655279E-02  3.818334140E-01  2.977117165E-04 
        16  2.934181529E+00  6.680656559E-03  3.835398007E-01  1.250328181E-04 
        17  2.934179059E+00  0.000000000E+00  3.838950759E-01  6.413270607E-05 
        18  2.934183993E+00  1.334652059E-02  3.824913576E-01  2.430982192E-04 
        19  2.913715525E+00  6.680617273E-03  3.841792874E-01  9.545098245E-05 
        20  2.913712463E+00  0.000000000E+00  3.845382171E-01  4.894884483E-05 
        21  2.913718580E+00  1.334648131E-02  3.831200231E-01  1.855400087E-04 
        22  2.888748720E+00  6.680569349E-03  3.847526598E-01  6.770367695E-05 
        23  2.888744925E+00  0.000000000E+00  3.851149321E-01  3.471435710E-05 
        24  2.888752507E+00  1.334643339E-02  3.836835282E-01  1.315469511E-04 
        25  2.858291338E+00  6.680510884E-03  3.852302452E-01  4.441582532E-05 
        26  2.858286620E+00  0.000000000E+00  3.855953959E-01  2.271099792E-05 
        27  2.858296046E+00  1.334637492E-02  3.841526904E-01  8.622203921E-05 
        28  2.821137579E+00  6.680439566E-03  3.855937147E-01  2.703139250E-05 
        29  2.821131717E+00  0.000000000E+00  3.859612066E-01  1.348479165E-05 
