nodenumber     x-coordinate     y-coordinate   axial-velocity  radial-velocity 
         1  2.992877546E+00  6.680769228E-03  3.764384282E-01  2.230680300E-04 
         2  2.985185331E+00  6.680754462E-03  3.770284022E-01  2.322694585E-04 
         3  2.985183258E+00  0.000000000E+00  3.773446881E-01  1.182019397E-04 
         4  2.992875583E+00  0.000000000E+00  3.767548254E-01  1.135048374E-04 
         5  2.985187399E+00  1.334661850E-02  3.760953953E-01  4.526444457E-04 
         6  2.992879504E+00  1.334663326E-02  3.755119632E-01  4.368392332E-04 
         7  2.975981098E+00  6.680736795E-03  3.776401696E-01  2.416448702E-04 
         8  2.975979782E+00  0.000000000E+00  3.779596608E-01  1.229526591E-04 
         9  2.975982412E+00  1.334660083E-02  3.766972245E-01  4.702419565E-04 
        10  2.964707548E+00  6.680715155E-03  3.784501554E-01  2.474722389E-04 
        11  2.964705913E+00  0.000000000E+00  3.787746698E-01  1.262534549E-04 
        12  2.964709179E+00  1.334657919E-02  3.774940532E-01  4.815794392E-04 
        13  2.950956119E+00  6.680688758E-03  3.794328015E-01  2.456309180E-04 
        14  2.950954116E+00  0.000000000E+00  3.797631012E-01  1.254389669E-04 
        15  2.950958117E+00  1.334655279E-02  3.784598524E-01  4.778142325E-04 
        16  2.934181529E+00  6.680656559E-03  3.805941915E-01  2.316895537E-04 
        17  2.934179059E+00  0.000000000E+00  3.809313045E-01  1.183433397E-04 
        18  2.934183993E+00  1.334652059E-02  3.796010609E-01  4.505728222E-04 
        19  2.913715525E+00  6.680617273E-03  3.818761810E-01  2.035529211E-04 
        20  2.913712463E+00  0.000000000E+00  3.822208499E-01  1.039465442E-04 
        21  2.913718580E+00  1.334648131E-02  3.808603937E-01  3.958377361E-04 
        22  2.888748720E+00  6.680569349E-03  3.831819045E-01  1.634237542E-04 
        23  2.888744925E+00  0.000000000E+00  3.835342796E-01  8.347200381E-05 
        24  2.888752507E+00  1.334643339E-02  3.821428559E-01  3.177427740E-04 
        25  2.858291338E+00  6.680510884E-03  3.843876326E-01  1.167913255E-04 
        26  2.858286620E+00  0.000000000E+00  3.847471427E-01  5.971220222E-05 
        27  2.858296046E+00  1.334637492E-02  3.833270664E-01  2.272590658E-04 
        28  2.821137579E+00  6.680439566E-03  3.853679829E-01  7.308947909E-05 
        29  2.821131717E+00  0.000000000E+00  3.857333568E-01  3.741168939E-05 
        30  2.821143429E+00  1.334630361E-02  3.842895654E-01  1.418213485E-04 
        31  2.775816089E+00  6.680352570E-03  3.860647239E-01  3.878513307E-05 
        32  2.775808803E+00  0.000000000E+00  3.864341910E-01  1.965035980E-05 
        33  2.775823360E+00  1.334621662E-02  3.849735744E-01  7.542875643E-05 
        34  2.720531262E+00  6.680246449E-03  3.864836337E-01  1.720139334E-05 
        35  2.720522201E+00  0.000000000E+00  3.868557843E-01  8.251533361E-06 
        36  2.720540304E+00  1.334611050E-02  3.853844454E-01  3.383191500E-05 
        37  2.653844281E+00  6.680118441E-03  3.866905730E-01  6.418820215E-06 
        38  2.653833432E+00  0.000000000E+00  3.870640410E-01  2.570279030E-06 
        39  2.653855107E+00  1.334598249E-02  3.855872978E-01  1.272033308E-05 
        40  2.581337834E+00  6.679979262E-03  3.867819965E-01  1.601642221E-06 
        41  2.581326108E+00  0.000000000E+00  3.871559817E-01  4.389761739E-07 
        42  2.581349536E+00  1.334584332E-02  3.856770739E-01  3.583687168E-06 
        43  2.506754944E+00  6.679836097E-03  3.868065897E-01  6.694396239E-07 
        44  2.506742998E+00  0.000000000E+00  3.871807709E-01  2.293611098E-07 
        45  2.506766864E+00  1.334570015E-02  3.857011090E-01  1.200289351E-06 
        46  2.432172053E+00  6.679692932E-03  3.868161859E-01  2.906660981E-08 
        47  2.432159889E+00  0.000000000E+00  3.871903311E-01 -1.369697311E-07 
        48  2.432184192E+00  1.334555699E-02  3.857107068E-01  1.494213199E-07 
        49  2.357589162E+00  6.679549767E-03  3.868128463E-01 -2.799927373E-08 
        50  2.357576779E+00  0.000000000E+00  3.871870079E-01 -1.585025822E-07 
        51  2.357601520E+00  1.334541382E-02  3.857073131E-01  5.476095888E-08 
        52  2.283006271E+00  6.679406603E-03  3.868162246E-01 -6.303466893E-08 
        53  2.282993670E+00  0.000000000E+00  3.871903651E-01 -1.834368324E-07 
        54  2.283018847E+00  1.334527066E-02  3.857107194E-01  1.623763549E-08 
        55  2.208423381E+00  6.679263438E-03  3.868129796E-01 -5.173530108E-08 
        56  2.208410560E+00  0.000000000E+00  3.871871032E-01 -1.773877281E-07 
        57  2.208436175E+00  1.334512749E-02  3.857074918E-01  3.859670225E-08 
        58  2.133840490E+00  6.679120273E-03  3.868155825E-01 -5.676940007E-08 
        59  2.133827451E+00  0.000000000E+00  3.871896866E-01 -1.846045365E-07 
        60  2.133853503E+00  1.334498433E-02  3.857101170E-01  4.396411157E-08 
        61  2.059257599E+00  6.678977109E-03  3.868133407E-01 -5.047982379E-08 
        62  2.059244342E+00  0.000000000E+00  3.871874266E-01 -1.728930608E-07 
        63  2.059270831E+00  1.334484116E-02  3.857078951E-01  4.266913070E-08 
        64  1.984674709E+00  6.678833944E-03  3.868152046E-01 -5.570146017E-08 
        65  1.984661232E+00  0.000000000E+00  3.871892711E-01 -1.799515619E-07 
        66  1.984688159E+00  1.334469800E-02  3.857097810E-01  4.658654113E-08 
        67  1.910091818E+00  6.678690779E-03  3.868136763E-01 -5.240965956E-08 
        68  1.910078123E+00  0.000000000E+00  3.871877247E-01 -1.715612977E-07 
        69  1.910105487E+00  1.334455484E-02  3.857082722E-01  4.190113934E-08 
        70  1.835508927E+00  6.678547614E-03  3.868148786E-01 -5.632331539E-08 
        71  1.835495013E+00  0.000000000E+00  3.871889078E-01 -1.774976748E-07 
        72  1.835522814E+00  1.334441167E-02  3.857094957E-01  4.576218205E-08 
        73  1.760926036E+00  6.678404450E-03  3.868139387E-01 -5.327117057E-08 
        74  1.760911904E+00  0.000000000E+00  3.871879496E-01 -1.708505997E-07 
        75  1.760940142E+00  1.334426851E-02  3.857085761E-01  4.237863391E-08 
        76  1.686343145E+00  6.678261285E-03  3.868146293E-01 -5.714680625E-08 
        77  1.686328794E+00  0.000000000E+00  3.871886210E-01 -1.765378481E-07 
        78  1.686357470E+00  1.334412534E-02  3.857092879E-01  4.535150855E-08 
        79  1.611760255E+00  6.678118120E-03  3.868141578E-01 -5.521107290E-08 
        80  1.611745685E+00  0.000000000E+00  3.871881309E-01 -1.714742055E-07 
        81  1.611774798E+00  1.334398218E-02  3.857088369E-01  4.177985318E-08 
        82  1.537177364E+00  6.677974955E-03  3.868143762E-01 -5.995670427E-08 
        83  1.537162575E+00  0.000000000E+00  3.871883305E-01 -1.778096093E-07 
        84  1.537192126E+00  1.334383901E-02  3.857090761E-01  4.427608356E-08 
        85  1.462594473E+00  6.677831791E-03  3.868143616E-01 -5.521626593E-08 
        86  1.462579466E+00  0.000000000E+00  3.871882971E-01 -1.697017216E-07 
        87  1.462609453E+00  1.334369585E-02  3.857090823E-01  4.346925241E-08 
        88  1.388011582E+00  6.677688626E-03  3.868141717E-01 -6.172581239E-08 
        89  1.387996356E+00  0.000000000E+00  3.871880881E-01 -1.773878084E-07 
        90  1.388026781E+00  1.334355269E-02  3.857089137E-01  4.494374613E-08 
        91  1.313428691E+00  6.677545461E-03  3.868145844E-01 -5.956967629E-08 
        92  1.313413247E+00  0.000000000E+00  3.871884826E-01 -1.719292628E-07 
        93  1.313444109E+00  1.334340952E-02  3.857093462E-01  4.186409808E-08 
        94  1.238845801E+00  6.677402297E-03  3.868139064E-01 -6.135560992E-08 
        95  1.238830137E+00  0.000000000E+00  3.871877858E-01 -1.756798354E-07 
        96  1.238861437E+00  1.334326636E-02  3.857086889E-01  4.577647934E-08 
        97  1.164262910E+00  6.677259132E-03  3.868148378E-01 -5.891584399E-08 
        98  1.164247028E+00  0.000000000E+00  3.871886985E-01 -1.691562654E-07 
        99  1.164278764E+00  1.334312319E-02  3.857096410E-01  4.133715350E-08 
       100  1.089680019E+00  6.677115967E-03  3.868136305E-01 -6.075690482E-08 
       101  1.089663919E+00  0.000000000E+00  3.871874723E-01 -1.728828572E-07 
       102  1.089696092E+00  1.334298003E-02  3.857084541E-01  4.497102327E-08 
       103  1.015097128E+00  6.676972802E-03  3.868151464E-01 -5.859536838E-08 
       104  1.015080809E+00  0.000000000E+00  3.871889695E-01 -1.644017430E-07 
       105  1.015113420E+00  1.334283686E-02  3.857099910E-01  3.788715156E-08 
       106  9.405142371E-01  6.676829638E-03  3.868132393E-01 -6.092292293E-08 
       107  9.404976996E-01  0.000000000E+00  3.871870437E-01 -1.683772993E-07 
       108  9.405307475E-01  1.334269370E-02  3.857081041E-01  4.070028204E-08 
       109  8.659313462E-01  6.676686473E-03  3.868155120E-01 -5.540926334E-08 
       110  8.659145901E-01  0.000000000E+00  3.871892978E-01 -1.554205598E-07 
       111  8.659480752E-01  1.334255054E-02  3.857103978E-01  3.874738786E-08 
       112  7.913484554E-01  6.676543308E-03  3.868129054E-01 -4.766808460E-08 
       113  7.913314806E-01  0.000000000E+00  3.871866741E-01 -1.525702217E-07 
       114  7.913654029E-01  1.334240737E-02  3.857078068E-01  5.274351199E-08 
       115  3.000000000E+00  6.680782900E-03  3.761045738E-01  2.188975859E-04 
       116  3.000000000E+00  1.334664693E-02  3.751805226E-01  4.301551174E-04 
       117  7.167655644E-01  6.676400143E-03  3.868165684E-01 -2.445427892E-09 
       118  7.167483712E-01  0.000000000E+00  3.871903207E-01 -1.164062793E-07 
       119  7.167827306E-01  1.334226421E-02  3.857114856E-01  1.377982166E-07 
       120  6.421826735E-01  6.676256979E-03  3.868150141E-01  9.468554384E-08 
       121  6.421652617E-01  0.000000000E+00  3.871887536E-01 -6.728174718E-08 
       122  6.422000582E-01  1.334212104E-02  3.857099228E-01  3.238986114E-07 
       123  5.675997826E-01  6.676113814E-03  3.868232227E-01  3.164492482E-07 
       124  5.675821523E-01  0.000000000E+00  3.871968735E-01 -2.327044711E-08 
       125  5.676173859E-01  1.334197788E-02  3.857182254E-01  9.539996296E-07 
       126  4.930168917E-01  6.675970649E-03  3.868209877E-01 -6.703164233E-07 
       127  4.929990428E-01  0.000000000E+00  3.871945846E-01 -4.821819309E-07 
       128  4.930347135E-01  1.334183471E-02  3.857163062E-01 -4.155695547E-07 
       129  4.184340007E-01  6.675827485E-03  3.867518224E-01 -4.718701066E-06 
       130  4.184159333E-01  0.000000000E+00  3.871249967E-01 -1.801191168E-06 
       131  4.184520412E-01  1.334169155E-02  3.856486163E-01 -9.268627180E-06 
       132  3.459405985E-01  6.675688331E-03  3.863420146E-01 -3.464987494E-05 
       133  3.459233599E-01  0.000000000E+00  3.867121026E-01 -1.678589974E-05 
