"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 6.891123515642914e-05 4.220813153331285e-05
2 3.632713558639937e-05 2.225037054666961e-05
3 2.04583317662878e-05 1.253072820685128e-05
4 1.262850211017067e-05 7.734957542479538e-06
5 8.575664444984285e-06 5.252594472552874e-06
6 6.410273361310908e-06 3.926292433802931e-06
7 5.212482806750642e-06 3.192645719134768e-06
8 4.519598147568298e-06 2.768253865385583e-06
9 4.104619581584974e-06 2.514079493720797e-06
10 3.852037323824699e-06 2.359372860842628e-06
11 3.696473550377919e-06 2.264090049606475e-06
12 3.599781144011081e-06 2.204865950706787e-06
13 3.539133765010892e-06 2.167719431069172e-06
14 3.500598508491527e-06 2.14411658645106e-06
15 3.475758921908963e-06 2.12890233966924e-06
16 3.459531201505047e-06 2.118962860921842e-06
17 3.448680844645764e-06 2.112317017345531e-06
18 3.441307889698413e-06 2.107801082440278e-06
19 3.436269396172291e-06 2.104715005155528e-06
20 3.432766233885599e-06 2.102569318254929e-06
21 3.430264893272248e-06 2.101037247129252e-06
22 3.428449752303483e-06 2.099925473285883e-06
23 3.427120879533249e-06 2.099111538714115e-06
24 3.426141404567534e-06 2.098511610297615e-06
25 3.425417079729877e-06 2.09806796133455e-06
26 3.424879715235854e-06 2.097738825581961e-06
27 3.424480750093018e-06 2.097494459431973e-06
28 3.424183519945342e-06 2.097312405966522e-06
29 3.423962029684408e-06 2.0971767431817e-06
30 3.423796204130764e-06 2.097075175030093e-06
31 3.4236718469662e-06 2.096999006266798e-06
32 3.423559762968192e-06 2.096930354818018e-06
33 3.423520963844474e-06 2.096906590354741e-06
34 3.423469567977873e-06 2.096875110386448e-06
35 3.423418504553984e-06 2.096843834039315e-06
36 3.423394021653975e-06 2.09682883826306e-06
37 3.423380821499384e-06 2.096820753168373e-06
38 3.423360787447838e-06 2.096808482311801e-06
39 3.423341030575869e-06 2.09679638122772e-06
40 3.423333177998803e-06 2.096791571524267e-06
41 3.423323496413511e-06 2.096785641553276e-06
42 3.423315307998263e-06 2.096780626148936e-06
43 3.423309083338123e-06 2.0967768135446e-06
44 3.423304258153684e-06 2.096773858119132e-06
45 3.423300691384552e-06 2.096771673473038e-06
46 3.423297908650853e-06 2.096769969048647e-06
47 3.423295898334719e-06 2.096768737730015e-06
48 3.423294292463345e-06 2.096767754133799e-06
49 3.423293172666013e-06 2.096767068257933e-06
50 3.423292235308611e-06 2.096766494126524e-06
51 3.423291621902466e-06 2.096766118415261e-06
52 3.423291063474971e-06 2.09676577637842e-06
53 3.423290738503108e-06 2.096765577333154e-06
54 3.42329039310985e-06 2.096765365779783e-06
55 3.423290231558025e-06 2.096765266829291e-06
56 3.42329005596188e-06 2.096765159276652e-06
57 3.423289946878088e-06 2.096765092462829e-06
58 3.42328982324086e-06 2.096765016735027e-06
59 3.423289732152124e-06 2.096764960943176e-06
60 3.423289658247372e-06 2.096764915676515e-06
