"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 2.028514417338024e-06 1.24246508061954e-06
2 1.590469429588496e-06 9.741625256229536e-07
3 1.44139115878615e-06 8.828520847565168e-07
4 1.45341763425141e-06 8.902183009789885e-07
5 1.516929009066972e-06 9.291190180535205e-07
6 1.648074305683762e-06 1.009445512231305e-06
7 1.755101330378324e-06 1.074999564856723e-06
8 1.854110459491773e-06 1.135642656438711e-06
9 1.915055781444922e-06 1.172971666135014e-06
10 1.96008627932607e-06 1.200552846087218e-06
11 1.994246382549287e-06 1.221475909311438e-06
12 2.020191258684344e-06 1.237367145944161e-06
13 2.039803910554158e-06 1.249379895214422e-06
14 2.054650870547523e-06 1.258473658210358e-06
15 2.065839995546037e-06 1.265326997271948e-06
16 2.074278254379221e-06 1.270495430807273e-06
17 2.080610123620336e-06 1.274373700717456e-06
18 2.085347226064727e-06 1.277275175964646e-06
19 2.088890235011034e-06 1.279445268944259e-06
20 2.091542896393707e-06 1.281070024041146e-06
21 2.093525928928409e-06 1.282284631468651e-06
22 2.095007179056857e-06 1.283191897172325e-06
23 2.096112765787354e-06 1.283869069044754e-06
24 2.096937718978935e-06 1.284374352874598e-06
25 2.097553448247418e-06 1.284751487051544e-06
26 2.098012968038096e-06 1.285032942923334e-06
27 2.098355878486892e-06 1.285242975573222e-06
28 2.098624372407628e-06 1.285407428099672e-06
29 2.098753704354874e-06 1.285486643917361e-06
30 2.09890595543017e-06 1.285579897700979e-06
31 2.098984823540071e-06 1.285628204418294e-06
32 2.099079094781015e-06 1.285685945553372e-06
33 2.099131335335972e-06 1.285717942893283e-06
34 2.099168595883213e-06 1.285740764978468e-06
35 2.099217211372401e-06 1.285770541965596e-06
36 2.099244361033278e-06 1.285787171132883e-06
37 2.0992650789634e-06 1.285799860865083e-06
38 2.099281162330209e-06 1.285809711927253e-06
39 2.099302199058585e-06 1.285822596923383e-06
40 2.099313948016665e-06 1.285829793160207e-06
41 2.099322926682344e-06 1.285835292592936e-06
42 2.099330327751654e-06 1.285839825747888e-06
43 2.099336468558559e-06 1.285843586992117e-06
44 2.099341300762873e-06 1.28584654671726e-06
45 2.099347599160251e-06 1.285850404485654e-06
46 2.09935110400512e-06 1.285852551203136e-06
47 2.099353779871999e-06 1.285854190171599e-06
48 2.099355985149405e-06 1.28585554090401e-06
49 2.099357807976717e-06 1.285856657385739e-06
50 2.099359323630408e-06 1.285857585723625e-06
51 2.099360515379845e-06 1.285858315670155e-06
52 2.099362079531526e-06 1.28585927371306e-06
53 2.09936289107343e-06 1.285859770782476e-06
54 2.099363843772463e-06 1.285860354310633e-06
55 2.099364597050825e-06 1.28586081569363e-06
56 2.09936516896552e-06 1.285861165991381e-06
57 2.099365587453847e-06 1.285861422315481e-06
58 2.099365905561657e-06 1.285861617156515e-06
59 2.099366134404336e-06 1.285861757322656e-06
60 2.099366311232233e-06 1.285861865629743e-06
