"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 4.897839851835791e-06 2.999926909249422e-06
2 4.194420054849384e-06 2.569082283595248e-06
3 3.85487459600909e-06 2.361110690055568e-06
4 3.77829261392719e-06 2.314204226030404e-06
5 3.787499999146381e-06 2.319843749477158e-06
6 3.866463003794488e-06 2.368208589824124e-06
7 3.934854138630089e-06 2.41009815991093e-06
8 3.989019554457167e-06 2.443274477105015e-06
9 4.031785071275908e-06 2.469468356156494e-06
10 4.065545550550567e-06 2.490146649712222e-06
11 4.092174215330553e-06 2.506456706889964e-06
12 4.112868840383152e-06 2.51913216473468e-06
13 4.12901824874995e-06 2.529023677359345e-06
14 4.141469605394927e-06 2.536650133304393e-06
15 4.150981201703833e-06 2.542475986043598e-06
16 4.15827550690427e-06 2.546943747978865e-06
17 4.163854652556397e-06 2.550360974690793e-06
18 4.168104188197326e-06 2.552963815270862e-06
19 4.171332905290693e-06 2.55494140449055e-06
20 4.173773821497094e-06 2.55643646566697e-06
21 4.175618640659668e-06 2.557566417404046e-06
22 4.177008375455401e-06 2.558417629966433e-06
23 4.178055113676451e-06 2.559058757126826e-06
24 4.178841810597017e-06 2.559540608990673e-06
25 4.179432245870947e-06 2.559902250595955e-06
26 4.179874796874442e-06 2.560173313085596e-06
27 4.180206881444651e-06 2.560376714884849e-06
28 4.180504369217628e-06 2.560558926145798e-06
29 4.180654112117284e-06 2.560650643671836e-06
30 4.180729506028053e-06 2.560696822442183e-06
31 4.180852220346541e-06 2.560771984962256e-06
32 4.180904877028769e-06 2.560804237180121e-06
33 4.180981807094919e-06 2.560851356845638e-06
34 4.181024879907805e-06 2.560877738943531e-06
35 4.181055859693814e-06 2.560896714062461e-06
36 4.181074457268489e-06 2.56090810507695e-06
37 4.181105365099761e-06 2.560927036123603e-06
38 4.181122932227169e-06 2.560937795989141e-06
39 4.181133113205592e-06 2.560944031838425e-06
40 4.181149026084179e-06 2.56095377847656e-06
