"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 1.848790752807173e-06 1.132384336094394e-06
2 1.593671022037931e-06 9.76123500998233e-07
3 1.503920367169782e-06 9.211512248914915e-07
4 1.518284518884583e-06 9.299492678168071e-07
5 1.608963903165795e-06 9.854903906890497e-07
6 1.690254702135061e-06 1.035281005057725e-06
7 1.770477622527636e-06 1.084417543798177e-06
8 1.833477889402037e-06 1.123005207258748e-06
9 1.872687884555858e-06 1.147021329290463e-06
10 1.907804501387084e-06 1.168530257099589e-06
11 1.930792540814787e-06 1.182610431249057e-06
12 1.948032669810228e-06 1.193170010258764e-06
13 1.961399672857199e-06 1.201357299625035e-06
14 1.971662809086162e-06 1.207643470565274e-06
15 1.979532235134089e-06 1.212463494019629e-06
16 1.985532230969137e-06 1.216138491468596e-06
17 1.990138915199486e-06 1.218960085559685e-06
18 1.993645644199294e-06 1.221107957072067e-06
19 1.996327289795997e-06 1.222750465000048e-06
20 1.998366691120426e-06 1.223999598311261e-06
21 1.999913461078778e-06 1.224946994910752e-06
22 2.001085661779265e-06 1.2256649678398e-06
23 2.001972168043568e-06 1.226207952926685e-06
24 2.002641641568099e-06 1.226618005460461e-06
25 2.00314905455248e-06 1.226928795913394e-06
26 2.003532674250221e-06 1.22716376297826e-06
27 2.003822476800563e-06 1.227341267040345e-06
28 2.004041104060549e-06 1.227475176237086e-06
29 2.004205988937538e-06 1.227576168224242e-06
30 2.004344945272541e-06 1.227661278979431e-06
31 2.004415308311454e-06 1.227704376340766e-06
32 2.004458231442206e-06 1.227730666758352e-06
33 2.004521058204953e-06 1.227769148150534e-06
34 2.004555773314038e-06 1.227790411154848e-06
35 2.004578122974122e-06 1.22780410032165e-06
36 2.004610937746311e-06 1.227824199369616e-06
37 2.004629141826033e-06 1.227835349368445e-06
38 2.004641038411239e-06 1.227842636026884e-06
39 2.004658424398243e-06 1.227853284943924e-06
40 2.004666893622835e-06 1.227858472343987e-06
41 2.004678047373675e-06 1.227865304016376e-06
42 2.004683447944196e-06 1.22786861186582e-06
43 2.004690522857388e-06 1.22787294525015e-06
44 2.004693937609646e-06 1.227875036785908e-06
45 2.004698029179218e-06 1.227877542872271e-06
46 2.004701397858474e-06 1.227879606188315e-06
47 2.004703968124317e-06 1.227881180476145e-06
48 2.004705910858949e-06 1.227882370401106e-06
49 2.004707376859267e-06 1.227883268326301e-06
50 2.004708476078766e-06 1.227883941598244e-06
51 2.004709305640756e-06 1.227884449704963e-06
52 2.00470992167804e-06 1.227884827027799e-06
53 2.004710389238466e-06 1.22788511340856e-06
54 2.004710733224764e-06 1.227885324100168e-06
55 2.004710996740087e-06 1.227885485503303e-06
56 2.004711187752852e-06 1.227885602498622e-06
57 2.004711336421321e-06 1.227885693558059e-06
58 2.004711441635566e-06 1.227885758001785e-06
59 2.00471152588605e-06 1.227885809605205e-06
60 2.004711582991436e-06 1.227885844582255e-06
