"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 1.539352176562873e-05 9.428532081447595e-06
2 1.002237714841419e-05 6.138706003403692e-06
3 6.856313638616746e-06 4.199492103652758e-06
4 5.417171308379372e-06 3.318017426382366e-06
5 4.722611939444429e-06 2.892599812909713e-06
6 4.356048636727401e-06 2.668079789995533e-06
7 4.150069992906328e-06 2.541917870655126e-06
8 4.0313982157561e-06 2.469231407150611e-06
9 3.951277487908577e-06 2.420157461344003e-06
10 3.902815975267238e-06 2.390474784851184e-06
11 3.873251162871011e-06 2.372366337258495e-06
12 3.854982995511559e-06 2.36117708475083e-06
13 3.843508537747101e-06 2.3541489793701e-06
14 3.836206334538761e-06 2.349676379904991e-06
15 3.831514603163358e-06 2.346802694437557e-06
16 3.828479181749911e-06 2.34494349882182e-06
17 3.826277762014196e-06 2.343595129233695e-06
18 3.825464390540237e-06 2.343096939205896e-06
19 3.824451037569063e-06 2.342476260511051e-06
20 3.823617560882694e-06 2.34196575604065e-06
21 3.82331528094233e-06 2.341780609577177e-06
22 3.822865804092178e-06 2.341505305006459e-06
23 3.822697198065397e-06 2.341402033815056e-06
24 3.822440979814918e-06 2.341245100136638e-06
25 3.822344541586597e-06 2.341186031721791e-06
26 3.822215556905054e-06 2.341107028604346e-06
27 3.822100148433934e-06 2.341036340915784e-06
28 3.822058290925544e-06 2.341010703191896e-06
29 3.821994182297103e-06 2.340971436656976e-06
30 3.821969348206529e-06 2.340956225776499e-06
31 3.821931283659057e-06 2.340932911241172e-06
32 3.821911863789637e-06 2.340921016571153e-06
33 3.821900677317512e-06 2.340914164856976e-06
34 3.821882479059935e-06 2.340903018424211e-06
35 3.821874858026135e-06 2.340898350541008e-06
36 3.821863768692111e-06 2.340891558323918e-06
37 3.821859036731087e-06 2.340888659997791e-06
38 3.821853287367643e-06 2.340885138512681e-06
39 3.821848589204317e-06 2.340882260887645e-06
40 3.821845159080406e-06 2.340880159936749e-06
