"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 6.42748347036141e-05 3.936833625596364e-05
2 3.367417194646261e-05 2.062543031720835e-05
3 1.8894963594974e-05 1.157316520192158e-05
4 1.162084520226799e-05 7.117767686389145e-06
5 7.852999941295823e-06 4.809962464043692e-06
6 5.836086667145211e-06 3.574603083626442e-06
7 4.719849239012549e-06 2.890907658895187e-06
8 4.075743528504497e-06 2.496392911209005e-06
9 3.689462464116757e-06 2.259795759271514e-06
10 3.453428099011763e-06 2.115224710644705e-06
11 3.308227646493772e-06 2.026289433477436e-06
12 3.218310066913927e-06 1.971214915984781e-06
13 3.162189699119872e-06 1.936841190710922e-06
14 3.126787196504749e-06 1.915157157859159e-06
15 3.104172996248797e-06 1.901305960202388e-06
16 3.08944838814699e-06 1.892287137740032e-06
17 3.079686062334781e-06 1.886307713180054e-06
18 3.073158361188297e-06 1.882309496227832e-06
19 3.068731123807132e-06 1.879597813331869e-06
20 3.065707992396402e-06 1.877746145342796e-06
21 3.063615030700533e-06 1.876464206304077e-06
22 3.062135798601445e-06 1.875558176643385e-06
23 3.061071821604013e-06 1.874906490732458e-06
24 3.060297342046646e-06 1.874432122003571e-06
25 3.059732200659062e-06 1.874085972903675e-06
26 3.059318630726487e-06 1.873832661319973e-06
27 3.059015145834887e-06 1.873646776823868e-06
28 3.058756262251136e-06 1.873488210628821e-06
29 3.05864369307652e-06 1.873419262009369e-06
30 3.05858044671745e-06 1.873380523614438e-06
31 3.058478730820427e-06 1.873318222627512e-06
32 3.058382882373168e-06 1.873259515453565e-06
33 3.058338620382664e-06 1.873232404984382e-06
34 3.058312675502318e-06 1.87321651374517e-06
35 3.058267159580755e-06 1.873188635243212e-06
36 3.058243873498808e-06 1.87317437251802e-06
37 3.058226159581917e-06 1.873163522743925e-06
38 3.058214204740006e-06 1.873156200403254e-06
39 3.058194372885507e-06 1.873144053392374e-06
40 3.058183903981075e-06 1.873137641188409e-06
41 3.058175918921223e-06 1.873132750339249e-06
42 3.058170463623786e-06 1.873129408969569e-06
43 3.058161839732772e-06 1.873124126836323e-06
44 3.058157245454722e-06 1.873121312841018e-06
45 3.058154353601086e-06 1.873119541580666e-06
46 3.058149872640712e-06 1.873116796992436e-06
47 3.058147860667314e-06 1.87311556465873e-06
48 3.058145029986388e-06 1.873113830866663e-06
49 3.05814376832033e-06 1.873113058096202e-06
50 3.058142172304952e-06 1.873112080536783e-06
51 3.058140908593226e-06 1.873111306513351e-06
52 3.058139915518759e-06 1.87311069825524e-06
53 3.058139197804355e-06 1.873110258655168e-06
54 3.058138625505111e-06 1.873109908121881e-06
55 3.058138227768983e-06 1.873109664508502e-06
56 3.058137897674716e-06 1.873109462325764e-06
57 3.058137682683662e-06 1.873109330643743e-06
58 3.058137489027253e-06 1.873109212029193e-06
59 3.058137376201898e-06 1.873109142923663e-06
60 3.058137258959547e-06 1.873109071112722e-06
