(title " Pressure at receiver-3")
(labels "Frequency [Hz]" "Sound Pressure Level [dB]")

((xy/key/label "Pressure")
1.2121212e+00	2.9907415e+01
2.4242425e+00	2.7999733e+01
3.6363637e+00	2.6397732e+01
4.8484850e+00	2.4192284e+01
6.0606060e+00	2.1574659e+01
7.2727275e+00	1.6644966e+01
8.4848480e+00	1.1953612e+01
9.6969700e+00	1.2911559e+01
1.0909091e+01	1.1909285e+01
1.2121212e+01	9.2235184e+00
1.3333333e+01	7.3634453e+00
1.4545455e+01	5.4654512e+00
1.5757576e+01	2.7891612e+00
1.6969696e+01	-1.2456638e-01
1.8181818e+01	-1.8968997e+00
1.9393940e+01	-2.3103182e+00
)
